date,time,DOY,Ta,RH,Rg
[yyyy-mm-dd],[HH:MM],[ddd.ddd],[K],[%],[W/m^2]
2019-04-25,00:33,115.0229,297.462,24.0339,0.997540
2019-04-25,01:03,115.0437,297.459,24.3758,0.982703
2019-04-25,01:33,115.0645,297.441,24.6646,0.990124
2019-04-25,02:03,115.0854,297.414,25.0248,0.988783
2019-04-25,02:33,115.1062,297.415,25.2114,0.988783
2019-04-25,03:03,115.1270,297.414,25.2214,0.989458
2019-04-25,03:33,115.1478,297.373,25.1194,0.988784
2019-04-25,04:03,115.1687,297.341,25.0716,0.980689
2019-04-25,04:33,115.1895,297.303,24.9939,0.982047
2019-04-25,05:03,115.2103,297.256,28.9534,0.973279
2019-04-25,05:33,115.2312,-9999,-9999,-9999
2019-04-25,06:03,115.2520,-9999,-9999,-9999
2019-04-25,06:33,115.2728,-9999,-9999,-9999
2019-04-25,07:03,115.2937,-9999,-9999,-9999
2019-04-25,07:33,115.3145,-9999,-9999,-9999
2019-04-25,08:03,115.3353,-9999,-9999,-9999
2019-04-25,08:33,115.3561,-9999,-9999,-9999
2019-04-25,09:03,115.3770,-9999,-9999,-9999
2019-04-25,09:33,115.3978,-9999,-9999,-9999
2019-04-25,10:03,115.4186,-9999,-9999,-9999
2019-04-25,10:33,115.4395,-9999,-9999,-9999
2019-04-25,11:03,115.4603,-9999,-9999,-9999
2019-04-25,11:33,115.4811,-9999,-9999,-9999
2019-04-25,12:03,115.5020,-9999,-9999,-9999
2019-04-25,12:33,115.5228,-9999,-9999,-9999
2019-04-25,13:03,115.5436,-9999,-9999,-9999
2019-04-25,13:33,115.5644,-9999,-9999,-9999
2019-04-25,14:03,115.5853,-9999,-9999,-9999
2019-04-25,14:33,115.6061,-9999,-9999,-9999
2019-04-25,15:03,115.6269,-9999,-9999,-9999
2019-04-25,15:33,115.6478,282.588,29.9054,428.927
2019-04-25,16:03,115.6686,282.614,30.7300,463.603
2019-04-25,16:33,115.6894,283.072,27.2035,580.439
2019-04-25,17:03,115.7103,283.306,29.1273,484.254
2019-04-25,17:33,115.7311,283.101,29.1578,360.004
2019-04-25,18:03,115.7519,282.904,28.2568,190.381
2019-04-25,18:33,115.7727,282.127,29.0614,83.3581
2019-04-25,19:03,115.7936,281.173,44.4329,15.3382
2019-04-25,19:33,115.8144,279.385,47.7890,-4.15818
2019-04-25,20:03,115.8352,279.142,48.6325,-3.44753
2019-04-25,20:33,115.8561,278.732,48.7356,-3.52630
2019-04-25,21:03,115.8769,278.219,47.5743,-4.26424
2019-04-25,21:33,115.8977,277.684,44.9201,-3.49132
2019-04-25,22:03,115.9186,276.714,44.3063,-4.25164
2019-04-25,22:33,115.9394,277.113,46.4671,-4.18358
2019-04-25,23:03,115.9602,276.554,50.3966,-4.45284
2019-04-25,23:33,115.9810,276.323,51.1957,-3.73881
2019-04-26,00:03,116.0020,276.373,51.7097,-3.87543
2019-04-26,00:33,116.0229,276.696,49.7738,-3.06867
2019-04-26,01:03,116.0437,276.985,50.4972,-3.89701
2019-04-26,01:33,116.0645,276.879,52.1008,-3.77727
2019-04-26,02:03,116.0854,276.671,53.3357,-3.89361
2019-04-26,02:33,116.1062,276.387,56.9719,-4.14110
2019-04-26,03:03,116.1270,276.216,57.5632,-4.05528
2019-04-26,03:33,116.1478,276.496,58.6681,-3.99851
2019-04-26,04:03,116.1687,276.496,61.2773,-4.17967
2019-04-26,04:33,116.1895,276.822,61.9183,-4.10579
2019-04-26,05:03,116.2103,276.957,62.0127,-3.96704
2019-04-26,05:33,116.2312,276.480,63.0056,6.22241
2019-04-26,06:03,116.2520,276.837,58.9689,77.6400
2019-04-26,06:33,116.2728,277.604,58.2582,184.634
2019-04-26,07:03,116.2937,278.168,53.9303,296.520
2019-04-26,07:33,116.3145,279.526,47.5696,408.605
2019-04-26,08:03,116.3353,280.704,42.9957,517.591
2019-04-26,08:33,116.3561,281.789,40.1125,623.479
